_id,en.name,en.address,en.location,map,website,latitude,longitude
-81,Philadelphia Zoo,"3400 W Girard Ave, Philadelphia, PA 19104","Philadelphia, Pennsylvania, USA",https://goo.gl/maps/wE2icXwnpcN2,https://www.philadelphiazoo.org/,39.9734158,-75.2334743
-83,Red River Zoo,"4255 23rd Ave S, Fargo, ND 58104","Fargo, North Dakota, USA",https://goo.gl/maps/iDn5ZuFrH4U2,https://redriverzoo.org/,46.8457505,-96.8582848
-84,Prospect Park Zoo,"450 Flatbush Ave, Brooklyn, NY 11225","Brooklyn, NY, USA",https://goo.gl/maps/7JRYsikRmTz,https://prospectparkzoo.com/,40.676838,-73.9870309
-85,Zoo Atlanta,"800 Cherokee Avenue SE, Atlanta, GA 30315","Atlanta, GA, USA",https://goo.gl/maps/bD7ZfqdL6D22,https://zooatlanta.org/,33.7337421,-84.3873637
-87,Lincoln Park Zoo,"2001 N Clark St, Chicago, IL 60614","Chicago, Illinois, USA",https://goo.gl/maps/HadVPFE1zaq,https://www.lpzoo.org/,41.9211024,-87.6509837
-88,Houston Zoo,"6200 Hermann Park Dr, Houston, TX 77030","Houston, Texas, USA",https://goo.gl/maps/LKkAW38D8Pz,https://www.houstonzoo.org/,29.7226492,-95.3884739
-89,Binghamton Zoo at Ross Park,"60 Morgan Rd, Binghamton, NY 13903","Binghamton, NY, USA",https://goo.gl/maps/BoeUeTysCJy,https://rossparkzoo.com/,42.0875777,-75.9133327
-90,Nashville Zoo at Grassmere,"3777 Nolensville Pike, Nashville, TN 37211","Nashville, Tennesesee",https://goo.gl/maps/6KdEKAFz5Sy,https://www.nashvillezoo.org/,36.0917091,-86.738922
-91,Pittsburgh Zoo and PPG Aquarium,"7370 Baker St, Pittsburgh, PA 15206","Pittsburgh, Pennsylvania, USA",https://goo.gl/maps/wKD5UXtTWh42,https://www.pittsburghzoo.org/,40.4878388,-79.9294974
-92,Utica Zoo,"1 Utica Zoo Way, Utica, NY 13501","Utica, New York, USA",https://goo.gl/maps/DHsMpakdJA42,http://www.uticazoo.org/,43.0890819,-75.2772741
-93,Milwaukee County Zoo,"10001 W Bluemound Rd, Milwaukee, WI 53226","Milwaukee, Wisconsin, USA",https://goo.gl/maps/pagD2rWWvY12,http://www.milwaukeezoo.org/,43.026838,-88.0504021
-95,San Diego Zoo,"2920 Zoo Dr, San Diego, CA 92101","San Diego, California, USA",https://goo.gl/maps/GMmgWVbWDn82,https://zoo.sandiegozoo.org/,32.7353209,-117.1665609
-97,Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907","Providence, Rhode Island, USA",https://goo.gl/maps/5Nw7c3CJH4r,http://www.rwpzoo.org/,41.7903783,-71.4235683
-99,Greensboro Science Center,"4301 Lawndale Dr, Greensboro, NC 27455","Greensboro, North Carolina, USA",https://goo.gl/maps/8Ecg8V5hWMz,http://www.greensboroscience.org/,36.1298984,-79.8691369
-101,Minnesota Zoological Garden,"13000 Zoo Blvd, Apple Valley, MN 55124","Apple Valley, Minnesota, USA",https://goo.gl/maps/ZdJu1mLMXFu,http://www.mnzoo.org/,44.7678109,-93.2054319
-102,Tulsa Zoo,"6421 E 36th St N, Tulsa, OK 74115","Tulsa, Oklahoma, USA",https://goo.gl/maps/5SaB25cXkwQ2,https://tulsazoo.org/,36.2112664,-95.9462436
-103,Staten Island Zoo,"614 Broadway, Staten Island, NY 10310","Staten Island, NY, USA",https://goo.gl/maps/1C5zcVNgMV72,http://www.statenislandzoo.org/,40.6233661,-74.1232649
-104,Potawatomi Zoo,"500 S Greenlawn Ave, South Bend, IN 46615","South Bend, Indiana, USA",https://goo.gl/maps/Kn5Ao11FJ5Q2,https://www.potawatomizoo.org/,41.6695218,-86.2270148
-105,Binder Park Zoo,"7400 Division Dr, Battle Creek, MI 49014","Battle Creek, Michigan, USA",https://goo.gl/maps/KNY2H8TL7a52,https://binderparkzoo.org/,42.2903965,-85.1575119
-107,Cleveland Metroparks Zoo,"3900 Wildlife Way, Cleveland, OH 44109","Cleveland, Ohio, USA",https://goo.gl/maps/H1Beh6XdftG2,https://www.clevelandmetroparks.com/zoo,41.4499591,-81.7133054
-108,Zoo Knoxville,"3500 Knoxville Zoo Dr, Knoxville, TN 37914","Knoxville, Tennessee, USA",https://goo.gl/maps/vnLPRS8bNrK2,https://www.zooknoxville.org/,35.9984181,-83.8940029
-109,Memphis Zoo,"2000 Prentiss Pl, Memphis, TN 38112","Memphis, Tennessee, USA",https://goo.gl/maps/nQy82rrLbm32,https://memphiszoo.org/,35.1500677,-90.0118466
